,0,1,2,3,4,5,6,7,8,9
initialized,True,True,True,True,True,True,True,True,True,True
base_asset_amount,-70752.76120080624,-48.5226254071224,-306.6141260124052,64262.85103262346,-2950.0633782603177,-3177.5378913786867,-1263160.3242041536,-55338.6746592411,-36279.642064228305,-315033.7359729969
base_asset_amount_long,19177.29699336807,28.1025752672662,183.7645410624543,66733.3833975436,9610.652328801276,304.4057445991305,99221.20290752893,7349.143111935934,9814.13165653469,266576.4086411305
base_asset_amount_short,-89930.05819417431,-76.6252006743886,-490.3786670748595,-2470.5323649201514,-12560.715707061592,-3481.9436359778174,-1362381.5271116823,-62687.81777117704,-46093.773720763,-581610.1446141275
initialized,True,True,True,True,True,True,True,True,True,True
open_interest,1408,581,332,277,182,84,93,116,58,58
market_index,0,1,2,3,4,5,6,7,8,9
market_name,SOL-PERP,BTC-PERP,ETH-PERP,LUNA-PERP,AVAX-PERP,BNB-PERP,MATIC-PERP,ATOM-PERP,DOT-PERP,ADA-PERP
oracle,H6ARHf6YXhGYeQfUzQNGk6rDNnLBQKrenN712K4AQJEG,GVXRSBjFk6e6J3NbVPXohDJetcTjaeeuykUpbQF8UoMU,JBu1AL4obBcCMqKBBxhpWCNUt136ijcuMZLFvTP7iWdB,5bmWuR1dgP4avtGYMNKLuxumZTVKGgoN2BCMXWDNL9nY,Ax9ujW5B9oqcv59N8m6f1BpTBq2rGeGaBcpKjC5UYsXU,4CkQJBxhU8EZ2UjhigbtdaPbpTe6mqf811fipYBFbSYN,7KVswB9vkCgeM3SHP7aGDijvdRAHK8P5wi9JXViCrtYh,CrCpTerNqtZvqLcKqz1k13oVeXV9WkMD2zA9hBKXrsbN,EcV1X1gY2yb4KXxjVQtTHTbioum2gvmPnFk4zYAt7zne,3pyn4svBbxJ9Wnn3RVeafyLWfzie6yC5eTig2S62v9SC
base_asset_reserve,255824.80105978413,384.2987461117817,1945.8412666469744,308950.49386331905,265777.5220889811,30438.223233998535,7615979.361602727,429814.1878110252,416241.00981257675,9246288.11308323
quote_asset_reserve,102418.98045796705,289.1389745170586,1354.3116303785764,448178.9803154702,266360.7185056136,23971.18743992811,5303324.069746875,328701.28810501203,347037.4438452741,8633883.69565037
cumulative_funding_rate_long,15.68740541819093,10503.29613873439,513.1746640632765,-3.26125565919069,2.7581806222947,33.45567732655597,0.14262326891752,2.76267471685913,1.76759437118522,0.01810575116958
cumulative_funding_rate_short,4.97310831922867,4986.72652692509,407.60732215066815,-3.85122784710647,1.09210631567713,17.16018380201799,0.1204712064699,2.73817327121438,0.96312321517927,0.01810575116958
last_funding_rate,0.00062007525416,0.56147073010833,-0.05423238012916,-0.00132443388333,-0.00035030736666,-0.0018260164375,-2.7102225e-05,0.0006553334125,-6.169505416e-05,-3.025399583e-05
last_funding_rate_ts,2022-03-22 21:02:11,2022-03-22 21:00:51,2022-03-22 21:13:23,2022-03-22 21:00:12,2022-03-22 21:10:13,2022-03-22 21:16:56,2022-03-22 21:05:22,2022-03-22 21:00:34,2022-03-22 21:00:42,2022-03-22 21:01:41
last_oracle_price_twap,92.0565916491,42578.7312157567,3003.2511059214,93.0197603052,85.6913438281,405.4021410769,1.5134229916,28.101621878,19.9886030951,0.9666832296
last_mark_price_twap,92.0714563682,42590.9140198578,3001.8403743561,92.9657154529,85.6794096348,405.3120722317,1.512584941,28.1114674598,19.9856618031,0.9658789139
last_mark_price_twap_ts,2022-03-22 21:22:01,2022-03-22 21:22:07,2022-03-22 21:17:30,2022-03-22 21:25:42,2022-03-22 21:27:39,2022-03-22 21:27:44,2022-03-22 21:16:57,2022-03-22 21:28:07,2022-03-22 21:25:57,2022-03-22 21:28:03
sqrt_k,161868.20348791586,333.3402846326139,1623.3531526721404,372109.0126664809,266068.96050885494,27011.85581333785,6355313.262387873,375872.95350862044,380067.3835899791,8934840.579710145
peg_multiplier,230.19,56800.699,4319.1,64.343,85.765,515.4,2.175,36.915,24.134,1.035
total_fee,1431886.390664,374974.030123,226535.683706,1279086.141849,873039.184903,250217.826392,484292.083546,583692.039336,230546.847869,212197.713503
total_fee_minus_distributions,931967.459307,201169.200193,121030.972898,942274.457472,695058.15126,142646.925315,318073.019021,433507.998293,168079.518928,186389.016455
total_fee_withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mark_price,92.15613581620634,42735.751877616174,3006.1071594229597,93.33916178556422,85.95319439762758,405.8958997560371,1.5145432128996805,28.230822514708226,20.121519678066047,0.9664494027991463
