,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
0,BU7c4shEQzY5a11YDyQsYCCWziiGaMLS5iUy9ieH1oUQ,GeTQpRQ3sufCCF3eZFN4R9BHaauqd5hu6KfoDA42sgia,,,,,,
1,8hDPSf7vLpVTfDKmSubGDtyYA6M7H9AuKHg75EZtWPbB,9qrqaKbzC5HVGFDucx2inNmCqyD45cAxtKQ6HC4vEmwd,,,,,,
2,8pRko9sT7Q2V5Y3dbTXJHzvruD3CXw6qPPm6eeGkZg7c,7jNmJ1WG3QJbCBhFMTfVtpavoRu26hWacZRCKbsrQBZh,0.0,1.0,5.0,0.0001276529473,10335.604122946526,39168.7000242101
3,E5upev9DdJHJN1ssCx3MmpkYDQ6mT1wVaxdAMy3yf58f,8JcUodZpRyoExJoDJYCijByVvvF1q3tM1W7jjzCm1BT7,,,,,,
4,3PsNHgF3V8FE63pZQr662NETYUzTa1bFgrEzvuTUParY,BxPCwmgxhcHj3XDnbUFbKf949U2LmZ66tUbVTamJERHf,,,,,,
5,AA98A14hLTZPjVWcB5eJswu6eyBtUVX6w9r5BY5dZ1Yq,7ewFVXDYWMnf3X67FcoihVz89rYV2dgPsLSfqLi7JUY6,,,,,,
6,HeonMSwfthE456ff2Yt8b3coDvdovsn1BdtT95HCmh4e,cJRLj1TTeFzSjwTeF3r4ydNkTVgWHEkcWtdMUYhXDvs,,,,,,
7,HSrKzoQfvbBC9HowFTRj25Ns6gHBTiELknGAPMyRAhTt,8NCNVdg8fpWfaoLK19HLBC4S4CyLgdbgXs1m5R9kW2DD,,,,,,
8,DC8JpvkYWs2piiCD1ztXohWB6DLQgtLcQfpE65Kryu2J,FGsjShNnN5C1zqi8hmxKJJKTkd2AFEtDuKZhYDFnB691,,,,,,
9,bqybW2d9ae7QWpmXn8rYx7U4ikgyn6KY8LTVtDzZ9U3,HnNjQLegiZU6Mh854bRZsEumCcyqFreyxo9BNc6tEjF7,,,,,,
10,612boHjVqJNAnVSMiNYAGqZu5ruus9H5ZkVJJKV1ZiM4,5Lt5Tnd5zihkFwkFR411pNrNJaj6z9WRrVymevLgpJJD,,,,,,
11,6YHBeNCsajNf8ExPcwXRjhxbHaJvPVKnQLkaWXyZ4WNz,BuHiCacbheNXKasM7ZirSTRRtFkkQpnmCGKNivGhsCCH,,,,,,
12,4BpC8vndp3pJYjSwvVWn4g8uVokRsa1CGWJp6xC4NWrn,2hGwGLuhXkWzvx8rrUkyEnKyi4AqhaUzAwBubqrhYQKz,,,,,,
13,AEDxgFPCyNz26T7kg6tGHzSzSgHBhRF5ny6VymSMGApb,4vieTAP5Rf7oBFk6WLp2wn6EH9k2X4R4GapYszkKXfu4,,,,,,
