,Address,collateral,cumulative_deposits,total_fee_paid,realized_pnl,~roi
13211,4CLaLrTr7juGATt6FAaw8JksSNGdTEGaA78otYJbdHDs,337889.296,-250000.0,1331783.301,587889.296,inf
6754,dsXDNhsw5LHYoaFivThPKZZkpgw4MBfv7PYAy5Dmdyb,192089.207,14500.0,951114.702,177589.207,12.248
4969,7ZVPidz43dLjX2GZp3Yqu1jbmDqA5qtSiWkY8f6VXfLP,37421.675,-131033.46,354520.374,168455.135,inf
9541,D5RCk5NfTVHEqgrrhNXgLrXQDzdnUmPiGXuLccaECLvp,47273.652,-66000.0,318228.803,113273.652,inf
12991,DXgo3PMFzUTdvW8xrj7w8Ks7L9XGK7VRVbM748pisja3,59667.7,-75204.0,263210.558,134871.7,inf
9875,LovffUMZGTniMyci8dJ9N1HhPem1kdTJFtQn8AykWyZ,28989.627,-121000.0,227082.367,149989.627,inf
4931,AcrAf5aJmJBxsSYGywSucEXU5Lw7xz1bxqHG2RiBNuqX,54404.747,-45003.0,197112.384,99407.747,inf
9606,8xvMCJuNnrrk1BtswWvvBQ59TA6ozEeVbV8LFNDLYxWS,0.002,-143368.78,187313.966,143368.782,inf
8375,AAw935winL5j5mVyWqSYiGkue52S9BHpRPwX7DUhQxyr,25697.576,-90000.0,171550.559,115697.576,inf
4140,EntLemtuTqmuHY9F4pycmGmNwBNeUghf9R6QHHd7ZTYw,0.007,-151453.04,155534.973,151453.047,inf
10846,BbjJgdGNyEZ3xfCCZVMQwKwpjA4AxPC9fAuAxdqiH7CG,56130.047,51000.0,143945.134,5130.047,0.101
5574,arbJEWqPDYfgTFf3CdACQpZrk56tB6z7hPFc6K9KLUi,130402.314,106071.1,122545.826,24331.214,0.229
6796,4sibudYDv3AkqFTXJZr675d9YDUr97JWuyF2QzKqea2Y,0.001,-8832.67,107775.645,8832.671,inf
3630,4dCEq3Vf5peA8GbsfUwXozozqDqMEpcLgs9YRNtwpoY4,91902.689,104990.0,93949.602,-13087.311,-0.125
7738,bhip1a2qNErbUg5CSXgXu1GKbSYG1Xx4UyLYT9JrHKf,17848.763,-29000.0,90353.04,46848.763,inf
1519,9Q1mhzyzkKsJNdrAZqYxJ26nvsZQT2xCdewXQU7yHPP2,0.006,-67613.2,77596.225,67613.206,inf
2612,FgxTXM14VNSQAP42SUsikZedphCcvvjZXNKgneXtDnXW,10904.119,-50952.0,75772.967,61856.119,inf
